                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7929,                  3.888,                 2.0874,                0.86179,                0.53827,                0.69769,                0.48988,                 1.5598,                 1.5728,                 1.3445,                    0.1,                      0,                      0
                      2,                 1.9702,                  3.491,                 2.1339,                0.90283,                0.52615,                0.73394,                0.49897,                 1.5375,                 1.5477,                 1.3233,                0.09901,              9.934e-06,              9.934e-06
                      3,                 1.8126,                 3.4132,                  1.856,                0.90478,                0.53099,                0.73681,                 0.5045,                 1.5264,                 1.5344,                 1.3173,                0.09802,             1.9736e-05,             1.9736e-05
                      4,                 2.2205,                 3.5822,                 2.3444,                0.90636,                0.53826,                0.75026,                0.52088,                 1.5168,                  1.529,                  1.307,               0.097029,             2.9406e-05,             2.9406e-05
                      5,                 1.9689,                 3.6283,                 2.1996,                 0.6257,                 0.5431,                0.58472,                0.37199,                 1.7694,                 2.2395,                 1.4521,               0.096039,             3.8944e-05,             3.8944e-05
                      6,                 1.0306,                 2.5177,                 1.4169,                0.74371,                0.35587,                0.48471,                0.29688,                 2.1756,                 3.8088,                 1.8116,               0.095048,              4.835e-05,              4.835e-05
                      7,                 1.4389,                 2.2797,                 1.6797,                0.16985,                0.28333,                0.14677,                0.02908,                 2.4191,                 5.4244,                 2.1465,               0.094058,             5.7624e-05,             5.7624e-05
                      8,                 1.3017,                 2.0288,                 1.4673,                0.16985,                0.28333,                0.14677,                0.02908,                 2.6745,                 7.7936,                 2.8213,               0.093067,             6.6766e-05,             6.6766e-05
                      9,                 1.5753,                 1.8837,                 1.7418,                0.16985,                0.28333,                0.14677,                0.02908,                 2.5955,                  10.95,                 2.9643,               0.092076,             7.5776e-05,             7.5776e-05
                     10,                 1.3714,                 1.9339,                 1.6842,                0.16985,                0.28333,                0.14677,                0.02908,                  2.633,                  14.15,                 3.1324,               0.091085,             8.4654e-05,             8.4654e-05
                     11,                 1.1406,                 1.0927,                 1.4662,                0.16985,                0.28333,                0.14677,                0.02908,                  2.947,                 16.988,                 3.4338,               0.090093,               9.34e-05,               9.34e-05
                     12,                 1.3713,                 2.1829,                 1.8735,                0.16985,                0.28333,                0.14677,                0.02908,                 3.1081,                 23.147,                 3.5221,               0.089102,             0.00010201,             0.00010201
                     13,                 1.6037,                 1.4532,                 1.6992,                0.16985,                0.28333,                0.14677,                0.02908,                 3.1535,                 24.839,                 3.6703,                0.08811,              0.0001105,              0.0001105
                     14,                 1.5688,                 1.4639,                 1.5594,                0.16985,                0.28333,                0.14677,                0.02908,                 3.3995,                 30.468,                 3.7332,               0.087119,             0.00011885,             0.00011885
                     15,                 1.5224,                 1.5295,                 1.7972,                0.16985,                0.28333,                0.14677,                0.02908,                 3.7722,                 41.763,                 4.4468,               0.086127,             0.00012706,             0.00012706
                     16,                 1.4089,                 1.6453,                 1.6952,                0.16985,                0.28333,                0.14677,                0.02908,                 3.7513,                 47.077,                 4.4072,               0.085135,             0.00013515,             0.00013515
                     17,                 1.3417,                 1.8032,                 1.6164,                0.16985,                0.28333,                0.14677,                0.02908,                 3.6003,                 46.619,                 4.2477,               0.084143,              0.0001431,              0.0001431
                     18,                 1.5962,                 1.6634,                 1.8611,                0.16985,                0.28333,                0.14677,                0.02908,                 3.6003,                 46.619,                 4.2477,               0.083151,             0.00015093,             0.00015093
                     19,                 1.1986,                 1.4086,                  1.553,                0.16985,                0.28333,                0.14677,                0.02908,                 3.4883,                 30.651,                 4.1671,               0.082159,             0.00015862,             0.00015862
                     20,                 1.4593,                 1.3592,                 1.9121,                0.16985,                0.28333,                0.14677,                0.02908,                 3.4883,                 30.651,                 4.1671,               0.081166,             0.00016617,             0.00016617
                     21,                 1.6904,                 4.7037,                  2.081,                0.16985,                0.28333,                0.14677,                0.02908,                 3.5736,                 26.638,                 4.0925,               0.080174,              0.0001736,              0.0001736
                     22,                 1.4763,                 1.7514,                 1.6068,                0.16985,                0.28333,                0.14677,                0.02908,                 3.5736,                 26.638,                 4.0925,               0.079181,             0.00018089,             0.00018089
                     23,                 1.2104,                 1.2956,                  1.555,                0.16985,                0.28333,                0.14677,                0.02908,                 3.3914,                 22.571,                 4.0096,               0.078188,             0.00018806,             0.00018806
                     24,                 1.3813,                 1.2373,                 1.6113,                0.16985,                0.28333,                0.14677,                0.02908,                 3.3914,                 22.571,                 4.0096,               0.077195,             0.00019509,             0.00019509
                     25,                 1.5922,                 1.4169,                 1.8309,                0.16985,                0.28333,                0.14677,                0.02908,                 3.2651,                 20.799,                 3.8441,               0.076202,             0.00020198,             0.00020198
                     26,                 1.2295,                 1.4516,                 1.4604,                0.16985,                0.28333,                0.14677,                0.02908,                 3.2651,                 20.799,                 3.8441,               0.075209,             0.00020875,             0.00020875
                     27,                 1.4346,                 1.3075,                 1.4641,                0.16985,                0.28333,                0.14677,                0.02908,                 3.1445,                 17.581,                 3.7272,               0.074215,             0.00021538,             0.00021538
                     28,                 1.2916,                 1.2018,                 1.6984,                0.16985,                0.28333,                0.14677,                0.02908,                 3.1445,                 17.581,                 3.7272,               0.073222,             0.00022189,             0.00022189
                     29,                 1.5664,                  2.005,                 1.7123,                0.16985,                0.28333,                0.14677,                0.02908,                 3.0717,                 14.735,                  3.685,               0.072228,             0.00022826,             0.00022826
                     30,                 1.1329,                 1.3158,                 1.3691,                0.16985,                0.28333,                0.14677,                0.02908,                 3.0717,                 14.735,                  3.685,               0.071234,             0.00023449,             0.00023449
                     31,                 1.4877,                 1.6165,                 1.6699,                0.16985,                0.28333,                0.14677,                0.02908,                 3.0002,                  13.35,                 3.6178,               0.070241,              0.0002406,              0.0002406
                     32,                 1.2345,                0.97296,                 1.3798,                0.16985,                0.28333,                0.14677,                0.02908,                 3.0002,                  13.35,                 3.6178,               0.069247,             0.00024657,             0.00024657
